OBJECTID,HAMILTON_3525005_C00000,TOTAL_FEMALE,TOTAL_MALE,TOTAL_SEX
721,"      $80,000 to $89,999",3875,6785,10665
722,"      $90,000 to $99,999",1680,3945,5625
723,"      $100,000 and over",3585,9600,13185
724,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,227005,214055,441055
725,  Without employment income,79475,54685,134160
726,  With employment income,147530,159370,306895
727,  Percentage with employment income,65,74.5,69.6
728,"    Under $5,000 (including loss)",20855,24615,45475
729,"    $5,000 to $9,999",13570,10965,24540
730,"    $10,000 to $19,999",22575,17950,40530
731,"    $20,000 to $29,999",18430,14600,33030
732,"    $30,000 to $39,999",17145,13740,30880
733,"    $40,000 to $49,999",14920,13670,28590
734,"    $50,000 to $59,999",11385,13110,24500
735,"    $60,000 to $69,999",7795,11040,18835
736,"    $70,000 to $79,999",5580,9060,14640
737,"    $80,000 and over",15265,30620,45885
738,"      $80,000 to $89,999",4540,7345,11885
739,"      $90,000 to $99,999",4815,6325,11140
740,"      $100,000 and over",5905,16950,22855
741,Total - Income statistics in 2015 for private households by household size - 100% data,...,...,211600
742,  Median total income of households in 2015 ($),...,...,69024
743,  Median after-tax income of households in 2015 ($),...,...,61168
744,    Total - Income statistics in 2015 for one-person private households - 100% data,...,...,59575
745,      Median total income of one-person households in 2015 ($),...,...,33153
746,      Median after-tax income of one-person households in 2015 ($),...,...,30294
747,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,...,...,152020
748,      Median total income of two-or-more-person households in 2015 ($),...,...,88222
749,      Median after-tax income of two-or-more-person households in 2015 ($),...,...,77378
750,Total - Income statistics in 2015 for private households by household size - 25% sample data,...,...,211595
751,  Average total income of households in 2015 ($),...,...,87775
752,  Average after-tax income of households in 2015 ($),...,...,73524
753,    Total - Income statistics in 2015 for one-person private households - 25% sample data,...,...,59540
754,      Average total income of one-person households in 2015 ($),...,...,42475
755,      Average after-tax income of one-person households in 2015 ($),...,...,36039
756,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,...,...,152060
757,      Average total income of two-or-more-person households in 2015 ($),...,...,105511
758,      Average after-tax income of two-or-more-person households in 2015 ($),...,...,88201
759,Total - Household total income groups in 2015 for private households - 100% data,...,...,211595
760,"  Under $5,000",...,...,3110
761,"  $5,000 to $9,999",...,...,2865
762,"  $10,000 to $14,999",...,...,6590
763,"  $15,000 to $19,999",...,...,8450
764,"  $20,000 to $24,999",...,...,9760
765,"  $25,000 to $29,999",...,...,8765
766,"  $30,000 to $34,999",...,...,8930
767,"  $35,000 to $39,999",...,...,9460
768,"  $40,000 to $44,999",...,...,9140
769,"  $45,000 to $49,999",...,...,8750
770,"  $50,000 to $59,999",...,...,16585
771,"  $60,000 to $69,999",...,...,14835
772,"  $70,000 to $79,999",...,...,13295
773,"  $80,000 to $89,999",...,...,12365
774,"  $90,000 to $99,999",...,...,11390
775,"  $100,000 and over",...,...,67325
776,"    $100,000 to $124,999",...,...,22110
777,"    $125,000 to $149,999",...,...,15250
778,"    $150,000 to $199,999",...,...,17105
779,"    $200,000 and over",...,...,12855
780,Total - Household after-tax income groups in 2015 for private households - 100% data,...,...,211595
781,"  Under $5,000",...,...,3270
782,"  $5,000 to $9,999",...,...,2935
783,"  $10,000 to $14,999",...,...,6675
784,"  $15,000 to $19,999",...,...,8790
785,"  $20,000 to $24,999",...,...,10870
786,"  $25,000 to $29,999",...,...,9745
787,"  $30,000 to $34,999",...,...,10335
788,"  $35,000 to $39,999",...,...,10915
789,"  $40,000 to $44,999",...,...,10750
790,"  $45,000 to $49,999",...,...,10320
791,"  $50,000 to $59,999",...,...,19140
792,"  $60,000 to $69,999",...,...,16900
793,"  $70,000 to $79,999",...,...,15590
794,"  $80,000 to $89,999",...,...,13635
795,"  $90,000 to $99,999",...,...,11590
796,"  $100,000 and over",...,...,50140
797,"    $100,000 to $124,999",...,...,20900
798,"    $125,000 to $149,999",...,...,12690
799,"    $150,000 and over",...,...,16550
800,Total - Income statistics in 2015 for economic families in private households - 100% data,...,...,146680
801,  Median total income of economic families in 2015 ($),...,...,88506
802,  Median after-tax income of economic families in 2015 ($),...,...,77524
803,  Average family size of economic families,...,...,3.1
804,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,...,...,49660
805,  Median total income of couple economic families without children or other relatives in 2015 ($),...,...,78534
806,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),...,...,69175
807,  Average family size of couple economic families without children or other relatives,...,...,2
808,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,...,...,66380
809,  Median total income of couple economic families with children in 2015 ($),...,...,114867
810,  Median after-tax income of couple economic families with children in 2015 ($),...,...,98603
811,  Average family size of couple economic families with children,...,...,4
812,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,...,...,26390
813,  Median total income of lone-parent economic families in 2015 ($),...,...,52546
814,  Median after-tax income of lone-parent economic families in 2015 ($),...,...,48903
815,  Average family size of lone-parent economic families,...,...,2.7
816,Total - Income statistics in 2015 for economic families in private households - 25% sample data,...,...,146810
817,  Average total income of economic families in 2015 ($),...,...,105908
818,  Average after-tax income of economic families in 2015 ($),...,...,88381
819,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,...,...,49695
820,  Average total income of couple economic families without children or other relatives in 2015 ($),...,...,96059
821,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),...,...,79825
822,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,...,...,66505
823,  Average total income of couple economic families with children in 2015 ($),...,...,130511
824,  Average after-tax income of couple economic families with children in 2015 ($),...,...,107794
825,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,...,...,26325
826,  Average total income of lone-parent economic families in 2015 ($),...,...,63514
827,  Average after-tax income of lone-parent economic families in 2015 ($),...,...,56084
828,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,39790,37395,77185
829,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),28738,31606,29985
830,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),26908,28856,27742
831,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,39815,37110,76920
832,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),37847,40905,39322
833,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),32936,34253,33571
834,Total - Economic family income decile group for the population in private households - 100% data,269220,258710,527930
835,  In the bottom half of the distribution,136695,124270,260965
836,    In the bottom decile,28695,27040,55730
837,    In the second decile,29185,23585,52770
838,    In the third decile,26865,23990,50855
839,    In the fourth decile,26150,24340,50490
840,    In the fifth decile,25795,25320,51115
841,  In the top half of the distribution,132530,134440,266965
842,    In the sixth decile,26225,25900,52125
843,    In the seventh decile,27260,27345,54610
844,    In the eighth decile,27605,27980,55580
845,    In the ninth decile,28155,28835,56995
846,    In the top decile,23275,24375,47650
847,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,269220,258705,527930
848,  0 to 17 years,51200,54260,105460
849,    0 to 5 years,16505,17450,33955
850,  18 to 64 years,170350,165250,335605
851,  65 years and over,47670,39195,86865
852,"In low income based on the Low-income measure, after tax (LIM-AT)",43400,37510,80915
853,  0 to 17 years,10885,11295,22175
854,    0 to 5 years,3835,3925,7760
855,  18 to 64 years,25960,22665,48625
856,  65 years and over,6555,3555,10110
857,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",16.1,14.5,15.3
858,  0 to 17 years (%),21.3,20.8,21
859,    0 to 5 years (%),23.2,22.5,22.9
860,  18 to 64 years (%),15.2,13.7,14.5
861,  65 years and over (%),13.8,9.1,11.6
862,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",33870,30875,64745
863,  0 to 17 years,8115,8410,16530
864,    0 to 5 years,2905,2980,5885
865,  18 to 64 years,21500,20240,41745
866,  65 years and over,4250,2220,6470
867,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",12.6,11.9,12.3
868,  0 to 17 years (%),15.8,15.5,15.7
869,    0 to 5 years (%),17.6,17.1,17.3
870,  18 to 64 years (%),12.6,12.2,12.4
871,  65 years and over (%),8.9,5.7,7.4
872,Total - Knowledge of languages for the population in private households - 25% sample data,269225,258710,527930
873,  Official languages,263395,254790,518185
874,    English,263170,254560,517735
875,    French,17235,13605,30835
876,  Non-official languages,78745,72340,151085
877,    Aboriginal languages,115,110,225
878,      Algonquian languages,40,55,95
879,        Blackfoot,0,0,0
880,        Cree-Montagnais languages,15,10,25
881,          Atikamekw,0,0,0
882,          Montagnais (Innu),0,0,0
883,          Moose Cree,0,0,0
884,          Naskapi,0,0,0
885,          Northern East Cree,0,0,0
886,          Plains Cree,0,0,0
887,          Southern East Cree,0,0,0
888,          Swampy Cree,10,0,10
889,          Woods Cree,0,0,0
890,"          Cree, n.o.s.",10,10,15
891,        Eastern Algonquian languages,0,10,10
892,          Malecite,0,0,0
893,          Mi'kmaq,0,10,10
894,        Ojibway-Potawatomi languages,20,40,60
895,          Algonquin,0,0,0
896,          Ojibway,25,30,60
897,          Oji-Cree,0,0,0
898,          Ottawa (Odawa),0,10,10
899,"        Algonquian languages, n.i.e.",0,0,0
900,      Athabaskan languages,0,0,0
901,        Northern Athabaskan languages,0,0,0
902,          Babine (Wetsuwet'en),0,0,0
903,          Beaver,0,0,0
904,          Carrier,0,0,0
905,          Chilcotin,0,0,0
906,          Dene,0,0,0
907,          Dogrib (Tlicho),0,0,0
908,          Gwich'in,0,0,0
909,          Sarsi (Sarcee),0,0,0
910,          Sekani,0,0,0
911,          Slavey-Hare languages,0,0,0
912,            North Slavey (Hare),0,0,0
913,            South Slavey,0,0,0
914,"            Slavey, n.o.s.",0,0,0
915,          Tahltan languages,0,0,0
916,            Kaska (Nahani),0,0,0
917,            Tahltan,0,0,0
918,          Tutchone languages,0,0,0
919,            Northern Tutchone,0,0,0
920,            Southern Tutchone,0,0,0
921,"        Athabaskan languages, n.i.e.",0,0,0
922,      Haida,0,0,0
923,      Inuit languages,10,0,10
924,        Inuinnaqtun (Inuvialuktun),0,0,0
925,        Inuktitut,0,0,0
926,"        Inuit languages, n.i.e.",0,0,0
927,      Iroquoian languages,60,55,115
928,        Cayuga,20,15,40
929,        Mohawk,45,50,100
930,        Oneida,0,0,0
931,"        Iroquoian languages, n.i.e.",0,0,0
932,      Kutenai,0,0,0
933,      Michif,0,0,0
934,      Salish languages,0,0,0
935,        Comox,0,0,0
936,        Halkomelem,0,0,0
937,        Lillooet,0,0,0
938,        Okanagan,0,0,0
939,        Shuswap (Secwepemctsin),0,0,0
940,        Squamish,0,0,0
941,        Straits,0,0,0
942,        Thompson (Ntlakapamux),0,0,0
943,"        Salish languages, n.i.e.",0,0,0
944,      Siouan languages,0,0,0
945,        Dakota,0,0,0
946,        Stoney,0,0,0
947,"        Siouan languages, n.i.e.",0,0,0
948,      Tlingit,0,0,0
949,      Tsimshian languages,0,0,0
950,        Gitxsan (Gitksan),0,0,0
951,        Nisga'a,0,0,0
952,        Tsimshian,0,0,0
953,      Wakashan languages,0,0,0
954,        Haisla,0,0,0
955,        Heiltsuk,0,0,0
956,        Kwakiutl (Kwak'wala),0,0,0
957,        Nuu-chah-nulth (Nootka),0,0,0
958,"        Wakashan languages, n.i.e.",0,0,0
959,"      Aboriginal languages, n.o.s.",10,0,0
960,    Non-Aboriginal languages,78630,72240,150865
961,      Afro-Asiatic languages,7815,8285,16100
962,        Berber languages,10,0,15
963,          Kabyle,0,0,0
964,"          Berber languages, n.i.e.",10,0,15
965,        Cushitic languages,700,485,1185
966,          Bilen,0,0,0
967,          Oromo,50,35,85
968,          Somali,650,455,1100
969,"          Cushitic languages, n.i.e.",0,0,0
970,        Semitic languages,7155,7825,14985
971,          Amharic,125,135,265
972,          Arabic,5765,6295,12060
973,          Assyrian Neo-Aramaic,1400,1415,2820
974,          Chaldean Neo-Aramaic,150,160,310
975,          Harari,0,0,0
976,          Hebrew,220,280,495
977,          Maltese,115,120,235
978,          Tigrigna,75,65,140
979,"          Semitic languages, n.i.e.",35,25,65
980,"        Afro-Asiatic languages, n.i.e.",35,25,65
981,      Austro-Asiatic languages,2440,2150,4585
982,        Khmer (Cambodian),565,440,1010
983,        Vietnamese,1880,1725,3605
984,"        Austro-Asiatic languages, n.i.e",0,0,0
985,      Austronesian languages,3930,2600,6535
986,        Bikol,10,15,25
987,        Cebuano,135,60,190
988,        Fijian,10,15,25
989,        Hiligaynon,35,20,60
990,        Ilocano,275,180,455
991,        Malagasy,0,0,0
992,        Malay,120,105,220
993,"        Pampangan (Kapampangan, Pampango)",30,15,40
994,        Pangasinan,10,10,15
995,"        Tagalog (Pilipino, Filipino)",3665,2405,6075
996,        Waray-Waray,0,10,0
997,"        Austronesian languages, n.i.e.",45,15,65
998,      Creole languages,360,330,690
999,        Haitian Creole,50,30,75
1000,"        Creole, n.o.s.",120,125,250
2001,        Haida,0,0,0
2002,        Inuit languages,0,0,0
2003,          Inuinnaqtun (Inuvialuktun),0,0,0
2004,          Inuktitut,0,0,0
2005,"          Inuit languages, n.i.e.",0,0,0
2006,        Iroquoian languages,0,0,0
2007,          Cayuga,0,0,0
2008,          Mohawk,0,0,0
2009,          Oneida,0,0,0
2010,"          Iroquoian languages, n.i.e.",0,0,0
2011,        Kutenai,0,0,0
2012,        Michif,0,0,0
2013,        Salish languages,0,0,0
2014,          Comox,0,0,0
2015,          Halkomelem,0,0,0
2016,          Lillooet,0,0,0
2017,          Okanagan,0,0,0
2018,          Shuswap (Secwepemctsin),0,0,0
2019,          Squamish,0,0,0
2020,          Straits,0,0,0
2021,          Thompson (Ntlakapamux),0,0,0
2022,"          Salish languages, n.i.e.",0,0,0
2023,        Siouan languages,0,0,0
2024,          Dakota,0,0,0
2025,          Stoney,0,0,0
2026,"          Siouan languages, n.i.e.",0,0,0
2027,        Tlingit,0,0,0
2028,        Tsimshian languages,0,0,0
2029,          Gitxsan (Gitksan),0,0,0
2030,          Nisga'a,0,0,0
2031,          Tsimshian,0,0,0
2032,        Wakashan languages,0,0,0
2033,          Haisla,0,0,0
2034,          Heiltsuk,0,0,0
2035,          Kwakiutl (Kwak'wala),0,0,0
2036,          Nuu-chah-nulth (Nootka),0,0,0
2037,"          Wakashan languages, n.i.e.",0,0,0
2038,"        Aboriginal languages, n.o.s.",0,0,0
2039,      Non-Aboriginal languages,760,920,1675
2040,        Afro-Asiatic languages,50,55,110
2041,          Berber languages,0,0,0
2042,            Kabyle,0,0,0
2043,"            Berber languages, n.i.e.",0,0,0
2044,          Cushitic languages,0,0,0
2045,            Bilen,0,0,0
2046,            Oromo,0,0,0
2047,            Somali,0,0,0
2048,"            Cushitic languages, n.i.e.",0,0,0
2049,          Semitic languages,50,55,105
2050,            Amharic,0,10,0
2051,            Arabic,40,50,90
2052,            Assyrian Neo-Aramaic,10,10,10
2053,            Chaldean Neo-Aramaic,0,0,0
2054,            Harari,0,0,0
2055,            Hebrew,0,0,0
2056,            Maltese,0,0,0
2057,            Tigrigna,0,0,0
2058,"            Semitic languages, n.i.e.",0,0,0
2059,"          Afro-Asiatic languages, n.i.e.",0,0,0
2060,        Austro-Asiatic languages,65,60,125
2061,          Khmer (Cambodian),10,0,0
2062,          Vietnamese,60,60,120
2063,"          Austro-Asiatic languages, n.i.e",0,0,0
2064,        Austronesian languages,10,10,15
2065,          Bikol,0,0,0
2066,          Cebuano,0,0,0
2067,          Fijian,0,0,0
2068,          Hiligaynon,0,0,0
2069,          Ilocano,0,0,0
2070,          Malagasy,0,0,0
2071,          Malay,0,0,0
2072,"          Pampangan (Kapampangan, Pampango)",0,0,0
2073,          Pangasinan,0,0,0
2074,"          Tagalog (Pilipino, Filipino)",10,10,15
2075,          Waray-Waray,0,0,0
2076,"          Austronesian languages, n.i.e.",0,0,0
2077,        Creole languages,0,0,10
2078,          Haitian Creole,0,10,0
2079,"          Creole, n.o.s.",0,0,0
2080,"          Creole languages, n.i.e.",0,0,0
2081,        Dravidian languages,10,0,0
2082,          Kannada,0,0,0
2083,          Malayalam,0,0,0
2084,          Tamil,10,0,0
2085,          Telugu,0,0,0
2086,"          Dravidian languages, n.i.e.",0,0,0
2087,        Hmong-Mien languages,0,0,0
2088,        Indo-European languages,385,505,890
2089,          Albanian,10,20,30
2090,          Armenian,0,0,0
2091,          Balto-Slavic languages,110,175,285
2092,            Baltic languages,10,10,10
2093,              Latvian,0,0,10
2094,              Lithuanian,0,0,0
2095,            Slavic languages,110,170,280
2096,              Belarusan,0,0,0
2097,              Bosnian,15,15,30
2098,              Bulgarian,0,10,10
2099,              Croatian,10,25,40
2100,              Czech,0,10,10
2101,              Macedonian,0,0,0
2102,              Polish,30,35,60
2103,              Russian,15,10,30
2104,              Serbian,30,60,90
2105,              Serbo-Croatian,0,0,0
2106,              Slovak,0,0,0
2107,              Slovene (Slovenian),0,0,0
2108,              Ukrainian,0,0,15
2109,"              Slavic languages, n.i.e.",0,0,0
2110,          Celtic languages,0,0,0
2111,            Scottish Gaelic,0,0,0
2112,            Welsh,0,0,0
2113,"            Celtic languages, n.i.e.",0,0,0
2114,          Germanic languages,10,10,15
2115,            Afrikaans,0,0,0
2116,            Danish,0,0,0
2117,            Dutch,0,0,0
2118,            Frisian,0,0,0
2119,            German,10,0,0
2120,            Icelandic,0,0,0
2121,            Norwegian,0,0,0
2122,            Swedish,10,0,10
2123,            Vlaams (Flemish),0,0,0
2124,            Yiddish,0,0,0
2125,"            Germanic languages, n.i.e.",0,0,0
2126,          Greek,0,10,10
2127,          Indo-Iranian languages,85,120,205
2128,            Indo-Aryan languages,80,105,180
2129,              Bengali,0,10,10
2130,              Gujarati,15,15,25
2131,              Hindi,10,0,10
2132,              Kashmiri,0,0,0
2133,              Konkani,0,0,0
2134,              Marathi,0,0,0
2135,              Nepali,0,0,0
2136,              Oriya (Odia),0,0,0
2137,              Punjabi (Panjabi),35,50,85
2138,              Sindhi,0,0,0
2139,              Sinhala (Sinhalese),0,0,0
2140,              Urdu,25,30,50
2141,            Iranian languages,0,20,25
2142,              Kurdish,0,0,0
2143,              Pashto,0,0,0
2144,              Persian (Farsi),10,20,25
2145,"            Indo-Iranian languages, n.i.e.",0,0,0
2146,          Italic (Romance) languages,170,175,345
2147,            Catalan,0,0,0
2148,            Italian,10,0,20
2149,            Portuguese,50,115,165
2150,            Romanian,0,0,10
2151,            Spanish,115,50,160
2152,"            Italic (Romance) languages, n.i.e.",0,0,0
2153,        Japanese,15,20,30
2154,        Kartvelian languages,0,0,0
2155,          Georgian,0,0,0
2156,        Korean,40,15,50
2157,        Mongolic languages,0,0,0
2158,          Mongolian,0,0,0
2159,        Niger-Congo languages,0,10,0
2160,          Akan (Twi),0,0,0
2161,          Bamanankan,0,0,0
2162,          Edo,0,0,0
2163,          Ewe,0,0,0
2164,"          Fulah (Pular, Pulaar, Fulfulde)",0,0,0
2165,          Ga,0,0,0
2166,          Ganda,0,0,0
2167,          Igbo,0,0,10
2168,          Lingala,0,0,0
2169,          Rundi (Kirundi),0,0,0
2170,          Kinyarwanda (Rwanda),0,0,0
2171,          Shona,0,0,0
2172,          Swahili,0,0,0
2173,          Wolof,0,0,0
2174,          Yoruba,0,0,0
2175,"          Niger-Congo languages, n.i.e.",0,0,0
2176,        Nilo-Saharan languages,0,0,0
2177,          Dinka,0,0,0
2178,"          Nilo-Saharan languages, n.i.e.",0,0,0
2179,        Sign languages,10,10,10
2180,          American Sign Language,10,0,10
2181,          Quebec Sign Language,0,0,0
2182,"          Sign languages, n.i.e",0,0,0
2183,        Sino-Tibetan languages,175,245,420
2184,          Chinese languages,165,240,405
2185,            Cantonese,50,120,165
2186,            Hakka,0,0,0
2187,            Mandarin,110,110,220
2188,            Min Dong,0,0,0
2189,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",0,0,0
2190,            Wu (Shanghainese),0,0,0
2191,"            Chinese, n.o.s.",10,10,15
2192,"            Chinese languages, n.i.e.",0,0,0
2193,          Tibeto-Burman languages,0,10,20
2194,            Burmese,0,0,0
2195,            Karenic languages,10,10,20
2196,            Tibetan,0,0,0
2197,"            Tibeto-Burman languages, n.i.e.",0,0,0
2198,        Tai-Kadai languages,10,0,15
2199,          Lao,0,0,0
2200,          Thai,10,0,15
2201,"          Tai-Kadai languages, n.i.e",0,0,0
2202,        Turkic languages,0,0,0
2203,          Azerbaijani,0,0,0
2204,          Turkish,0,0,0
2205,          Uyghur,0,0,0
2206,          Uzbek,0,0,0
2207,"          Turkic languages, n.i.e.",0,0,0
2208,        Uralic languages,0,0,0
2209,          Estonian,0,0,0
2210,          Finnish,0,0,0
2211,          Hungarian,0,0,0
2212,"          Uralic languages, n.i.e.",0,0,0
2213,"        Other languages, n.i.e.",0,0,0
2214,  Multiple responses,1395,1295,2685
2215,    English and French,435,260,685
2216,    English and non-official language,935,1025,1960
2217,    French and non-official language,0,0,0
2218,"    English, French and non-official language",25,10,40
2219,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data",143555,151825,295375
2220,  None,137800,146755,284555
2221,  English,935,615,1545
2222,  French,1900,1105,3000
2223,  Non-official language,2830,3250,6085
2224,    Aboriginal,0,10,15
2225,    Non-Aboriginal,2825,3240,6065
2226,  English and French,0,0,0
2227,  English and non-official language,0,10,20
2228,  French and non-official language,85,85,170
2229,"  English, French and non-official language",0,0,0
2230,Total - Mobility status 1 year ago - 25% sample data,266495,255865,522365
2231,  Non-movers,235060,225005,460065
2232,  Movers,31440,30860,62300
2233,    Non-migrants,20650,19930,40580
2234,    Migrants,10790,10930,21720
2235,      Internal migrants,8655,8385,17035
2236,        Intraprovincial migrants,7850,7475,15315
2237,        Interprovincial migrants,805,910,1715
2238,      External migrants,2140,2545,4685
2239,Total - Mobility status 5 years ago - 25% sample data,255390,244260,499655
2240,  Non-movers,163955,156200,320160
2241,  Movers,91435,88060,179495
2242,    Non-migrants,58175,55500,113675
2243,    Migrants,33260,32565,65820
2244,      Internal migrants,25865,24805,50670
2245,        Intraprovincial migrants,23595,22620,46210
2246,        Interprovincial migrants,2275,2185,4460
2247,      External migrants,7390,7760,15150
1001,"        Creole languages, n.i.e.",190,175,365
1002,      Dravidian languages,845,770,1615
1003,        Kannada,20,35,55
1004,        Malayalam,440,380,820
1005,        Tamil,365,330,695
1006,        Telugu,65,90,155
1007,"        Dravidian languages, n.i.e.",0,0,0
1008,      Hmong-Mien languages,0,0,0
1009,      Indo-European languages,54490,50195,104685
1010,        Albanian,790,780,1575
1011,        Armenian,200,195,395
1012,        Balto-Slavic languages,15620,13880,29495
1013,          Baltic languages,480,350,825
1014,            Latvian,205,160,365
1015,            Lithuanian,270,190,460
1016,          Slavic languages,15170,13555,28725
1017,            Belarusan,25,0,35
1018,            Bosnian,625,665,1295
1019,            Bulgarian,70,40,110
1020,            Croatian,3470,3310,6780
1021,            Czech,705,585,1290
1022,            Macedonian,405,325,730
1023,            Polish,4770,3840,8615
1024,            Russian,1275,1180,2455
1025,            Serbian,3100,3180,6280
1026,            Serbo-Croatian,195,185,380
1027,            Slovak,275,255,530
1028,            Slovene (Slovenian),390,285,680
1029,            Ukrainian,1250,855,2105
1030,"            Slavic languages, n.i.e.",70,115,190
1031,        Celtic languages,75,60,135
1032,          Scottish Gaelic,30,30,55
1033,          Welsh,15,15,30
1034,"          Celtic languages, n.i.e.",35,20,50
1035,        Germanic languages,5320,4290,9610
1036,          Afrikaans,155,130,290
1037,          Danish,135,85,220
1038,          Dutch,1640,1415,3060
1039,          Frisian,55,60,105
1040,          German,3305,2635,5940
1041,          Icelandic,10,0,0
1042,          Norwegian,20,20,40
1043,          Swedish,85,70,155
1044,          Vlaams (Flemish),15,25,40
1045,          Yiddish,40,20,55
1046,"          Germanic languages, n.i.e.",0,10,10
1047,        Greek,1030,1175,2210
1048,        Indo-Iranian languages,10175,10285,20460
1049,          Indo-Aryan languages,8080,8195,16275
1050,            Bengali,795,780,1580
1051,            Gujarati,820,930,1750
1052,            Hindi,2175,2245,4415
1053,            Kashmiri,0,0,10
1054,            Konkani,50,30,80
1055,            Marathi,50,80,125
1056,            Nepali,95,110,210
1057,            Oriya (Odia),0,0,0
1058,            Punjabi (Panjabi),3235,3405,6640
1059,            Sindhi,110,105,215
1060,            Sinhala (Sinhalese),145,150,295
1061,            Urdu,2815,2750,5560
1062,          Iranian languages,2210,2185,4395
1063,            Kurdish,755,795,1545
1064,            Pashto,155,200,360
1065,            Persian (Farsi),1380,1310,2690
1066,"          Indo-Iranian languages, n.i.e.",60,75,135
1067,        Italic (Romance) languages,22485,20605,43090
1068,          Catalan,0,10,10
1069,          Italian,10805,9865,20665
1070,          Portuguese,4640,4615,9260
1071,          Romanian,1050,935,1985
1072,          Spanish,6605,5750,12355
1073,"          Italic (Romance) languages, n.i.e.",20,60,80
1074,      Japanese,330,325,650
1075,      Kartvelian languages,10,0,10
1076,        Georgian,0,0,10
1077,      Korean,950,770,1715
1078,      Mongolic languages,0,0,0
1079,        Mongolian,0,0,0
1080,      Niger-Congo languages,1410,1260,2675
1081,        Akan (Twi),210,200,405
1082,        Bamanankan,0,0,0
1083,        Edo,25,0,25
1084,        Ewe,25,15,45
1085,"        Fulah (Pular, Pulaar, Fulfulde)",15,0,20
1086,        Ga,25,15,45
1087,        Ganda,20,25,45
1088,        Igbo,60,130,185
1089,        Lingala,185,150,335
1090,        Rundi (Kirundi),40,25,65
1091,        Kinyarwanda (Rwanda),105,85,195
1092,        Shona,195,145,340
1093,        Swahili,370,315,690
1094,        Wolof,15,10,20
1095,        Yoruba,105,100,205
1096,"        Niger-Congo languages, n.i.e.",245,210,455
1097,      Nilo-Saharan languages,125,125,255
1098,        Dinka,10,10,25
1099,"        Nilo-Saharan languages, n.i.e.",115,115,225
1100,      Sign languages,455,355,815
1101,        American Sign Language,250,120,375
1102,        Quebec Sign Language,0,0,0
1103,"        Sign languages, n.i.e",215,235,450
1104,      Sino-Tibetan languages,4600,4345,8945
1105,        Chinese languages,4415,4130,8545
1106,          Cantonese,1800,1630,3430
1107,          Hakka,30,20,50
1108,          Mandarin,2745,2600,5340
1109,          Min Dong,10,10,25
1110,"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",140,100,245
1111,          Wu (Shanghainese),70,55,125
1112,"          Chinese, n.o.s.",195,180,370
1113,"          Chinese languages, n.i.e.",10,0,0
1114,        Tibeto-Burman languages,185,210,400
1115,          Burmese,25,35,60
1116,          Karenic languages,175,185,360
1117,          Tibetan,0,0,0
1118,"          Tibeto-Burman languages, n.i.e.",0,0,10
1119,      Tai-Kadai languages,400,380,775
1120,        Lao,275,250,520
1121,        Thai,185,170,355
1122,"        Tai-Kadai languages, n.i.e",0,0,0
1123,      Turkic languages,470,470,945
1124,        Azerbaijani,30,20,50
1125,        Turkish,435,435,875
1126,        Uyghur,10,0,10
1127,        Uzbek,0,0,0
1128,"        Turkic languages, n.i.e.",10,20,35
1129,      Uralic languages,1600,1345,2950
1130,        Estonian,90,80,170
1131,        Finnish,30,25,55
1132,        Hungarian,1480,1240,2720
1133,"        Uralic languages, n.i.e.",0,0,0
1134,"      Other languages, n.i.e.",95,140,235
1135,Total - Citizenship for the population in private households - 25% sample data,269220,258705,527930
1136,  Canadian citizens,253390,244100,497485
1137,    Canadian citizens aged under 18,48795,51820,100610
1138,    Canadian citizens aged 18 and over,204595,192280,396880
1139,  Not Canadian citizens,15835,14615,30445
1140,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,269220,258710,527930
1141,  Non-immigrants,197430,193900,391335
1142,  Immigrants,68875,61495,130365
1143,    Before 1981,26985,23635,50625
1144,    1981 to 1990,8455,8115,16565
1145,    1991 to 2000,12330,11365,23695
